"App DisplayName","App ID","Total SignIn Events"
"Managed Disks Resource Provider","60e6cd67-9c8c-4951-9b3c-23c25a2169af","0"
"Microsoft Teams Partner Tenant Administration ","0c708d37-30b2-4f22-8168-5d0cba6f37be","0"
"Reply-At-Mention","18f36947-75b0-49fb-8d1c-29584a55cac5","0"
"Windows Azure Application Insights","11c174dc-1945-4a9a-a36b-c79a0f246b9b","0"
"Outlook Online Add-in App","bc59ab01-8403-45c6-8796-ac3ef710b3e3","0"
"Office 365 Client Admin","3cf6df92-2745-4f6f-bbcf-19b59bcdb62a","0"
"Azure AD Identity Governance - Dynamics 365 Management","c495cfdc-814f-46a1-89f0-657921c9fbe0","0"
"OfficeFeedProcessors","98c8388a-4e86-424f-a176-d1288462816f","0"
"Skype Presence Service","1e70cd27-4707-4589-8ec5-9bd20c472a46","0"
"Microsoft.Azure.ActiveDirectoryIUX","bb8f18b0-9c38-48c9-a847-e1ef3af0602d","0"
"PowerApps-Advisor","c9299480-c13a-49db-a7ae-cdfe54fe0313","0"
"OAuth-OBO-B","734b6b6b-97cd-45af-b6bf-37099b5135bd","0"
"OCaaS Client Interaction Service","c2ada927-a9e2-4564-aae2-70775a2fa0af","0"
"Cortana Runtime Service","81473081-50b9-469a-b9d8-303109583ecb","0"
"Azure Storage","e406a681-f3d4-42a8-90b6-c2b029497af1","0"
"Media Recording for Dynamics 365 Sales","f448d7e5-e313-4f90-a3eb-5dbb3277e4b3","0"
"Microsoft Teams AuditService","978877ea-b2d6-458b-80c7-05df932f3723","0"
"SharePoint Online Client","57fb890c-0dab-4253-a5e0-7188c88b2bb4","0"
"OIDCTest","b749281f-ca24-423f-bf26-6c17a2d211e3","58"
"SharePoint Online Client Extensibility","c58637bb-e2e1-4312-8a00-04b5ffcd3403","0"
"Dynamics 365 AI for Customer Service Bot ","96ff4394-9197-43aa-b393-6a41652e21f8","0"
"Microsoft Flow CDS Integration Service TIP1","eacba838-453c-4d3e-8c6a-eb815d3469a3","0"
"Azure AD App Tools","ed53d74a-6e8e-43f7-9f6f-97c9a52b56e5","2"
"Microsoft Seller Dashboard","0000000b-0000-0000-c000-000000000000","0"
"Microsoft Device Management Checkin","ca0a114d-6fbc-46b3-90fa-2ec954794ddb","0"
"Microsoft_Azure_Support","959678cf-d004-4c22-82a6-d2ce549a58b8","0"
